file name,contrast,gradient std,product
0,1.000000,62.028904,62.028900
1,0.168142,10.768915,1.810703
2,0.794677,27.278084,21.677259
3,0.414141,12.920080,5.350740
4,0.354167,10.752029,3.808010
5,0.940000,33.504776,31.494486
6,0.828571,19.485703,16.145296
7,0.565217,22.783934,12.877875
8,0.545455,16.535862,9.019561
9,0.329513,17.359985,5.720339
10,0.411765,18.137793,7.468503
11,0.900000,32.548409,29.293552
12,0.460815,23.699286,10.920987
13,0.271186,13.242798,3.591267
14,0.597765,21.074532,12.597624
15,0.333333,15.944566,5.314855
16,0.209068,15.408960,3.221520
17,0.171315,12.724403,2.179878
18,0.746939,23.338844,17.432688
19,0.135747,13.347513,1.811880
20,0.513353,27.070583,13.896769
21,0.295082,18.880207,5.571209
22,0.741935,18.472561,13.705444
23,0.121429,13.134209,1.594868
24,0.305936,9.704826,2.969056
25,0.750000,16.201532,12.151141
26,0.216438,12.626753,2.732913
27,0.208531,15.356001,3.202199
28,0.470588,28.154432,13.249141
29,0.693069,21.867308,15.155560
30,0.220779,11.713269,2.586046
31,0.669355,21.586069,14.448739
32,0.790795,29.772871,23.544237
33,0.696970,37.545547,26.168108
34,0.557252,15.066695,8.395944
35,0.818182,17.903662,14.648447
36,0.305085,13.226019,4.035057
37,0.480427,19.269203,9.257446
38,0.312849,19.281420,6.032176
39,0.094891,10.995904,1.043407
40,0.408072,20.628239,8.417801
41,0.297561,16.717873,4.974586
42,0.497076,14.625791,7.270130
43,0.382857,11.885337,4.550386
44,0.862595,19.928759,17.190454
45,0.366795,27.356306,10.034166
46,0.317829,25.708752,8.170999
47,0.352113,15.246345,5.368431
48,0.431373,20.956970,9.040261
49,0.666666,19.840414,13.226921
50,0.428571,13.748473,5.892202
51,0.171429,16.780525,2.876661
52,0.474747,15.356980,7.290687
53,0.497207,23.095297,11.483136
54,0.392713,18.187075,7.142292
55,0.356643,19.776663,7.053215
56,0.348534,17.764679,6.191598
57,0.550152,36.758694,20.222866
58,0.619048,24.344652,15.070498
59,0.301020,17.701685,5.328568
60,0.802469,27.368391,21.962288
61,0.757143,38.715542,29.313196
62,0.571429,26.993828,15.425043
63,0.915493,16.790035,15.371157
64,0.535168,18.872345,10.099878
65,0.532710,17.231863,9.179590
66,0.812500,11.780686,9.571807
67,0.682540,25.363285,17.311447
68,0.404762,27.521996,11.139854
69,0.616580,25.202002,15.539058
70,0.333333,29.353180,9.784392
71,0.729958,23.471193,17.132980
72,0.438596,10.438309,4.578205
73,0.309734,18.344587,5.681952
74,0.714286,21.027866,15.019903
75,0.768786,26.358271,20.263872
76,0.620513,16.243032,10.079009
